ds,y
2023-07-01,369792.46
2023-07-02,493445.35
2023-07-03,539152.74
2023-07-04,451556.95
2023-07-05,727889.94
2023-07-06,772297.61
2023-07-07,627225.62
2023-07-08,525836.88
2023-07-09,517293.58
2023-07-10,598602.62
2023-07-11,805218.17
2023-07-12,833056.36
2023-07-13,983982.42
2023-07-14,799265.33
2023-07-15,765254.24
2023-07-16,696140.44
2023-07-17,793669.66
2023-07-18,931334.65
2023-07-19,873110.86
2023-07-20,918352.91
2023-07-21,910717.71
2023-07-22,826886.31
2023-07-23,673433.02
2023-07-24,728410.34
2023-07-25,811277.21
2023-07-26,869992.51
2023-07-27,938421.54
2023-07-28,958736.61
2023-07-29,931638.34
2023-07-30,885841.1
2023-07-31,911461.56
2023-08-01,1027084.89
2023-08-02,1033683.71
2023-08-03,856773.34
2023-08-04,766586.46
2023-08-05,747202.17
2023-08-06,678083.64
2023-08-07,937663.26
2023-08-08,805493.76
2023-08-09,914224.99
2023-08-10,935364.18
2023-08-11,951519.65
2023-08-12,820741.56
2023-08-13,981903.13
2023-08-14,868580.53
2023-08-15,529616.62
2023-08-16,733495.03
2023-08-17,730098.59
2023-08-18,690466.86
2023-08-19,777389.58
2023-08-20,707102.64
2023-08-21,851892.85
2023-08-22,942847.38
2023-08-23,1124084.66
2023-08-24,1081943.11
2023-08-25,1123626.85
2023-08-26,1090126.75
2023-08-27,866327.64
2023-08-28,833580.73
2023-08-29,611663.12
2023-08-30,563664.75
2023-08-31,714263.62
2023-09-01,893115.29
2023-09-02,974174.34
2023-09-03,1524039.62
2023-09-04,1382589.74
2023-09-05,1155281.75
2023-09-06,777525.57
2023-09-07,858385.0
2023-09-08,1518085.0
2023-09-09,3284385.0
2023-09-10,4698585.0
2023-09-11,1355301.32
2023-09-12,1168939.11
2023-09-13,1219858.38
2023-09-14,1325031.55
2023-09-15,1195539.73
2023-09-16,1420626.72
2023-09-17,1283279.41
2023-09-18,1259824.13
2023-09-19,1110372.15
2023-09-20,1219701.04
2023-09-21,1382910.41
2023-09-22,1390542.59
2023-09-23,1322570.12
2023-09-24,1180931.85
2023-09-25,1132569.9
2023-09-26,1117128.83
2023-09-27,1365367.68
2023-09-28,1152806.01
2023-09-29,999120.77
2023-09-30,1192924.19
2023-10-01,1214757.04
2023-10-02,1048575.24
2023-10-03,1136565.86
2023-10-04,1501364.72
2023-10-05,1428204.6
2023-10-06,1240705.74
2023-10-07,1358334.48
2023-10-08,1389880.72
2023-10-09,1614832.45
2023-10-10,1679101.86
2023-10-11,1678719.89
2023-10-12,1611966.24
2023-10-13,1648950.03
2023-10-14,1627881.72
2023-10-15,1370968.66
2023-10-16,1489621.57
2023-10-17,1520521.41
2023-10-18,1521724.59
2023-10-19,1560573.56
2023-10-20,1189865.0
2023-10-21,1491531.14
2023-10-22,1424739.24
2023-10-23,1207595.55
2023-10-24,1336085.33
2023-10-25,1356057.26
2023-10-26,1465498.74
2023-10-27,1428310.83
2023-10-28,1450543.03
2023-10-29,1541924.67
